state_code,place_code,county_code,tract,block_group,State_abbr,county_name,place_name,pop_20,p2b_allocation_factor
8,7850,8013,121.01,1,CO,Boulder CO,"Boulder city, CO",1090,0.01
8,7850,8013,121.01,2,CO,Boulder CO,"Boulder city, CO",1624,0.0149
8,7850,8013,121.01,3,CO,Boulder CO,"Boulder city, CO",1147,0.0105
8,7850,8013,121.01,4,CO,Boulder CO,"Boulder city, CO",902,0.0083
8,7850,8013,121.03,1,CO,Boulder CO,"Boulder city, CO",940,0.0086
8,7850,8013,121.03,2,CO,Boulder CO,"Boulder city, CO",940,0.0086
8,7850,8013,121.03,3,CO,Boulder CO,"Boulder city, CO",1834,0.0168
8,7850,8013,121.04,1,CO,Boulder CO,"Boulder city, CO",1369,0.0126
8,7850,8013,121.04,2,CO,Boulder CO,"Boulder city, CO",1233,0.0113
8,7850,8013,121.05,1,CO,Boulder CO,"Boulder city, CO",1401,0.0128
8,7850,8013,121.05,2,CO,Boulder CO,"Boulder city, CO",2773,0.0254
8,7850,8013,121.05,3,CO,Boulder CO,"Boulder city, CO",1257,0.0115
8,7850,8013,121.05,4,CO,Boulder CO,"Boulder city, CO",1195,0.011
8,7850,8013,121.06,1,CO,Boulder CO,"Boulder city, CO",1069,0.0098
8,7850,8013,121.06,2,CO,Boulder CO,"Boulder city, CO",1731,0.0159
8,7850,8013,121.07,1,CO,Boulder CO,"Boulder city, CO",1861,0.0171
8,7850,8013,121.07,2,CO,Boulder CO,"Boulder city, CO",1463,0.0134
8,7850,8013,121.07,3,CO,Boulder CO,"Boulder city, CO",876,0.008
8,7850,8013,122.01,1,CO,Boulder CO,"Boulder city, CO",735,0.0067
8,7850,8013,122.01,2,CO,Boulder CO,"Boulder city, CO",1201,0.011
8,7850,8013,122.01,3,CO,Boulder CO,"Boulder city, CO",1441,0.0132
8,7850,8013,122.04,1,CO,Boulder CO,"Boulder city, CO",934,0.0086
8,7850,8013,122.04,2,CO,Boulder CO,"Boulder city, CO",1473,0.0135
8,7850,8013,122.04,3,CO,Boulder CO,"Boulder city, CO",1055,0.0097
8,7850,8013,122.05,1,CO,Boulder CO,"Boulder city, CO",1193,0.0109
8,7850,8013,122.05,2,CO,Boulder CO,"Boulder city, CO",1745,0.016
8,7850,8013,122.06,1,CO,Boulder CO,"Boulder city, CO",1743,0.016
8,7850,8013,122.06,2,CO,Boulder CO,"Boulder city, CO",1576,0.0145
8,7850,8013,122.07,1,CO,Boulder CO,"Boulder city, CO",1568,0.0144
8,7850,8013,122.07,2,CO,Boulder CO,"Boulder city, CO",2228,0.0204
8,7850,8013,122.07,3,CO,Boulder CO,"Boulder city, CO",1671,0.0153
8,7850,8013,122.08,1,CO,Boulder CO,"Boulder city, CO",1999,0.0183
8,7850,8013,122.08,2,CO,Boulder CO,"Boulder city, CO",502,0.0046
8,7850,8013,123,1,CO,Boulder CO,"Boulder city, CO",4968,0.0456
8,7850,8013,123,2,CO,Boulder CO,"Boulder city, CO",2091,0.0192
8,7850,8013,124.01,1,CO,Boulder CO,"Boulder city, CO",1425,0.0131
8,7850,8013,124.01,2,CO,Boulder CO,"Boulder city, CO",2028,0.0186
8,7850,8013,124.01,3,CO,Boulder CO,"Boulder city, CO",744,0.0068
8,7850,8013,124.01,4,CO,Boulder CO,"Boulder city, CO",1681,0.0154
8,7850,8013,125.01,1,CO,Boulder CO,"Boulder city, CO",1819,0.0167
