"","variable","GEOID","NAME","estimate","moe","label","concept"
"1","B01003_001","080130121011","Block Group 1, Census Tract 121.01, Boulder County, Colorado",1451,524,"Estimate!!Total","TOTAL POPULATION"
"2","B01003_001","080130124014","Block Group 4, Census Tract 124.01, Boulder County, Colorado",1259,365,"Estimate!!Total","TOTAL POPULATION"
"3","B01003_001","080130127102","Block Group 2, Census Tract 127.10, Boulder County, Colorado",1812,231,"Estimate!!Total","TOTAL POPULATION"
"4","B01003_001","080130127055","Block Group 5, Census Tract 127.05, Boulder County, Colorado",899,321,"Estimate!!Total","TOTAL POPULATION"
"5","B01003_001","080130127014","Block Group 4, Census Tract 127.01, Boulder County, Colorado",1779,391,"Estimate!!Total","TOTAL POPULATION"
"6","B01003_001","080130122043","Block Group 3, Census Tract 122.04, Boulder County, Colorado",1191,355,"Estimate!!Total","TOTAL POPULATION"
"7","B01003_001","080130122071","Block Group 1, Census Tract 122.07, Boulder County, Colorado",939,294,"Estimate!!Total","TOTAL POPULATION"
"8","B01003_001","080130121061","Block Group 1, Census Tract 121.06, Boulder County, Colorado",845,215,"Estimate!!Total","TOTAL POPULATION"
"9","B01003_001","080130121042","Block Group 2, Census Tract 121.04, Boulder County, Colorado",1034,193,"Estimate!!Total","TOTAL POPULATION"
"10","B01003_001","080130127084","Block Group 4, Census Tract 127.08, Boulder County, Colorado",488,248,"Estimate!!Total","TOTAL POPULATION"
"11","B01003_001","080130124012","Block Group 2, Census Tract 124.01, Boulder County, Colorado",1962,586,"Estimate!!Total","TOTAL POPULATION"
"12","B01003_001","080130126103","Block Group 3, Census Tract 126.10, Boulder County, Colorado",1107,292,"Estimate!!Total","TOTAL POPULATION"
"13","B01003_001","080130126052","Block Group 2, Census Tract 126.05, Boulder County, Colorado",1327,307,"Estimate!!Total","TOTAL POPULATION"
"14","B01003_001","080130122081","Block Group 1, Census Tract 122.08, Boulder County, Colorado",1492,294,"Estimate!!Total","TOTAL POPULATION"
"15","B01003_001","080130125113","Block Group 3, Census Tract 125.11, Boulder County, Colorado",2795,230,"Estimate!!Total","TOTAL POPULATION"
"16","B01003_001","080130125083","Block Group 3, Census Tract 125.08, Boulder County, Colorado",940,229,"Estimate!!Total","TOTAL POPULATION"
"17","B01003_001","080130125102","Block Group 2, Census Tract 125.10, Boulder County, Colorado",1080,266,"Estimate!!Total","TOTAL POPULATION"
"18","B01003_001","080130125011","Block Group 1, Census Tract 125.01, Boulder County, Colorado",2222,436,"Estimate!!Total","TOTAL POPULATION"
"19","B01003_001","080130123002","Block Group 2, Census Tract 123, Boulder County, Colorado",1904,307,"Estimate!!Total","TOTAL POPULATION"
"20","B01003_001","080130127051","Block Group 1, Census Tract 127.05, Boulder County, Colorado",1309,298,"Estimate!!Total","TOTAL POPULATION"
"21","B01003_001","080130127071","Block Group 1, Census Tract 127.07, Boulder County, Colorado",1733,426,"Estimate!!Total","TOTAL POPULATION"
"22","B01003_001","080130122051","Block Group 1, Census Tract 122.05, Boulder County, Colorado",1357,519,"Estimate!!Total","TOTAL POPULATION"
"23","B01003_001","080130122012","Block Group 2, Census Tract 122.01, Boulder County, Colorado",2034,564,"Estimate!!Total","TOTAL POPULATION"
"24","B01003_001","080130121062","Block Group 2, Census Tract 121.06, Boulder County, Colorado",1833,336,"Estimate!!Total","TOTAL POPULATION"
"25","B01003_001","080130121031","Block Group 1, Census Tract 121.03, Boulder County, Colorado",971,180,"Estimate!!Total","TOTAL POPULATION"
"26","B01003_001","080130125052","Block Group 2, Census Tract 125.05, Boulder County, Colorado",3020,425,"Estimate!!Total","TOTAL POPULATION"
"27","B01003_001","080130124013","Block Group 3, Census Tract 124.01, Boulder County, Colorado",1134,359,"Estimate!!Total","TOTAL POPULATION"
"28","B01003_001","080130125082","Block Group 2, Census Tract 125.08, Boulder County, Colorado",1221,284,"Estimate!!Total","TOTAL POPULATION"
